# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 27 07:34:06 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
#
pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,,,,,,,,
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,,,,,,,,
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,,,,,,,,
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,,,,,,,,
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,,,,,,,,
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,,,,,,,,
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,8.05300000,1.63200000,-0.88300000,0
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,,,,
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,,,,,8.90000000,1.30000000,-1.70000000,0
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,,,,,,,,
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,,,,,,,,
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,,,,,12.00000000,1.00000000,-1.00000000,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,,,,,8.00000000,3.00000000,-2.00000000,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,,,,,8.00000000,1.00000000,-1.00000000,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,1.66400000,,,0,8.00000000,4.00000000,-2.00000000,0
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,,,,,4.00000000,1.00000000,-1.00000000,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,,,,13.00000000,1.00000000,-1.00000000,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,1.00000000,,,0,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,,,,,24.50000000,2.50000000,-2.50000000,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,1.44000000,0.03000000,-0.03000000,0,13.90000000,1.10000000,-1.10000000,0
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),,,,,11.60000000,1.30000000,-1.00000000,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,,,,18.00000000,1.00000000,-1.00000000,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,,,,,7.50000000,2.50000000,-2.50000000,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,,,,28.00000000,10.00000000,-7.00000000,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,,,,20.00000000,1.00000000,-1.00000000,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,1.40000000,0.03000000,-0.04000000,0,5.20000000,0.60000000,-0.70000000,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,,,,4.00000000,1.00000000,-1.00000000,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,,,,5.00000000,2.00000000,-2.00000000,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,,,,,1.90000000,0.10000000,-0.10000000,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,,,,,,,,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,,,,12.00000000,1.00000000,-1.00000000,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,,,,,12.50000000,1.50000000,-1.50000000,0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018,The 2 (Two) Micron All Sky Survey (2MASS),Fred Lawrence Whipple Observatory,,,,,30.00000000,11.00000000,-4.00000000,0
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,,,,,,,,
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,,,,,10.90000000,,,1
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,,,,,,,,
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,,,,,2.00000000,,,0
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,,,,,4.10000000,0.40000000,-0.40000000,0
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,,,,,0.46000000,0.06000000,-0.01000000,0
55 Cnc B b,55 Cnc B,Radial Velocity,2025,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),,,,,,,,
55 Cnc B c,55 Cnc B,Radial Velocity,2025,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
